state,zip_code,total_rx,new_rx,total_qty,new_qty,avg_mme_per_unit,total_mme,medicaid_rx,medicaid_new_rx,medicaid_qty,medicaid_total_mme,distinct_prescribers,distinct_opioid_products,retail_rx,mail_order_rx,year
AA,34004,22.743,21.603,548.66,434.65,4.5,2468.97,0.0,0.0,0.0,0.0,1,3,22.743,0.0,2015
AA,34099,316.2,269.611,21207.588,17790.608,6.071863464624077,128769.57875,0.0,0.0,0.0,0.0,3,51,316.2,0.0,2015
AE,09005,1.016,1.016,20.31,20.31,3.75,76.1625,0.0,0.0,0.0,0.0,1,1,1.016,0.0,2015
AE,09009,14.403,14.403,379.72,379.72,6.864926788159696,2606.75,1.008,1.008,40.33,302.475,1,9,14.403,0.0,2015
AE,09033,120.39,119.271,7118.479,7051.349,6.880997204599466,48982.2341,3.126,3.126,88.76,482.8,1,38,120.39,0.0,2015
AE,09034,2.234,2.234,100.53,100.53,25.0,2513.25,0.0,0.0,0.0,0.0,1,2,2.234,0.0,2015
AE,09036,1.986,1.986,59.57,59.57,5.0,297.85,0.0,0.0,0.0,0.0,1,1,1.986,0.0,2015
AE,09042,106.202,106.202,4089.72,4089.72,8.796361364592197,35974.655,1.434,1.434,86.05,430.25,2,14,106.202,0.0,2015
AE,09067,2.577,2.577,102.43,102.43,4.5,460.935,0.0,0.0,0.0,0.0,1,1,2.577,0.0,2015
AE,09094,219.554,205.546,28116.259,26834.479,8.912254133809196,250579.2455,0.0,0.0,0.0,0.0,3,49,216.554,3.0,2015
AE,09096,889.402,811.235,53642.723,49652.397,6.462564763910288,346669.5715,0.0,0.0,0.0,0.0,2,30,888.402,1.0,2015
AE,09102,1070.387,954.951,71492.553,61918.206,7.642445329935273,546377.9278,14.831,14.831,1143.759,9292.52,3,64,1070.387,0.0,2015
AE,09112,767.607,767.607,30290.965,30290.965,5.321789441174951,161202.1377,3.027,3.027,111.03,499.635,4,39,767.607,0.0,2015
AE,09123,120.959,117.757,6800.448,6486.058,10.199700078583058,69362.53,4.363,4.363,213.56,2963.475,2,26,120.959,0.0,2015
AE,09126,26.982,26.982,455.02,455.02,6.543009098501165,2977.2,0.0,0.0,0.0,0.0,3,10,26.982,0.0,2015
AE,09137,1342.633,1244.662,79250.865,73225.126,9.770496949150019,774320.3347,77.425,77.425,6129.39,32533.6728,3,82,1336.633,6.0,2015
AE,09139,207.113,207.113,3159.749,3159.749,7.629606022503686,24107.64,0.0,0.0,0.0,0.0,1,20,207.113,0.0,2015
AE,09180,700.819,670.355,37532.528,35414.318,8.101619314052067,304074.25375,34.511,34.511,899.93,6244.46,27,69,698.819,2.0,2015
AE,09226,646.716,640.691,45357.298,45085.798,7.190143877000786,326125.498492,3.144,3.144,191.62,2121.9,1,52,646.716,0.0,2015
AE,09421,19.62,17.465,2000.11,1612.24,16.116696081715506,32235.165,0.0,0.0,0.0,0.0,2,13,19.62,0.0,2015
AE,09459,17.975,17.975,1687.909,1687.909,6.9192074335761,11678.9925,3.256,3.256,290.31,1876.85,1,6,17.975,0.0,2015
AE,09461,178.521,178.521,3969.869,3969.869,5.93494331928837,23560.9475,7.177,7.177,77.91,457.08,2,26,178.521,0.0,2015
AE,09464,401.845,399.804,20292.896,20231.686,6.93618200181975,140755.22,7.278,7.278,380.739,2727.6425,5,40,401.845,0.0,2015
AE,09593,149.504,149.504,4284.479,4284.479,7.195252048148678,30827.9063,6.45,6.45,168.89,820.2672,5,18,149.504,0.0,2015
AE,09602,391.041,383.6,16874.798,16539.267,6.136900009114183,103558.948,9.032,9.032,345.48,1444.3872,3,31,391.041,0.0,2015
AE,09604,92.744,91.691,2611.78,2580.18,5.756396021104381,15034.44,16.991,16.991,422.35,2098.765,3,19,92.744,0.0,2015
AE,09613,1.064,1.064,31.91,31.91,5.0,159.55,0.0,0.0,0.0,0.0,1,1,1.064,0.0,2015
AE,09617,1946.407,1926.661,58148.256,56518.546,9.616227976416008,559166.886127,52.399,51.11,2055.93,144540.445,9,79,1946.407,0.0,2015
AE,09623,1.027,1.027,10.27,10.27,5.0,51.35,0.0,0.0,0.0,0.0,1,1,1.027,0.0,2015
AE,09630,87.961,74.444,5732.69,4892.51,7.081053571708918,40593.485,1.027,1.027,123.23,1386.3375,2,25,87.961,0.0,2015
AE,09636,124.975,116.794,3750.068,3698.048,5.093906617160009,19102.4962,5.269,5.269,245.94,4977.7,5,19,124.975,0.0,2015
AE,09645,205.218,205.218,11911.009,11911.009,3.2646197899774907,38884.9157,2.094,2.094,686.47,410.315,6,37,205.218,0.0,2015
AE,09714,3.335,3.335,100.05,100.05,14.594952523738131,1460.225,0.0,0.0,0.0,0.0,1,3,3.335,0.0,2015
AE,09720,1.0,1.0,30.0,30.0,7.5,225.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,2015
AE,09752,16.698,16.698,768.939,768.939,6.566847305182856,5049.505,1.008,1.008,30.23,151.15,1,9,16.698,0.0,2015
AE,09803,63.773,63.773,1534.74,1534.74,5.464975676661845,8387.31677,10.58,10.58,251.73,1326.31,1,17,63.773,0.0,2015
AE,09821,1001.146,903.218,93873.738,86470.12,10.612269823536803,996213.437,7.491,7.491,224.75,2902.28,2,85,997.146,4.0,2015
AE,09824,101.686,101.686,3684.17,3684.17,7.8209121728910445,28813.57,2.05,2.05,60.75,455.625,4,17,101.686,0.0,2015
AE,09832,550.973,457.868,41678.244,33811.195,6.651402959779207,277218.7955,2.243,2.243,111.24,532.885,2,30,550.973,0.0,2015
AK,99501,7122.537,6920.098,402874.28,383432.581,11.439244479694757,4608577.383501,964.401,933.075,46077.585,488060.623801,68,176,7088.483,34.054,2015
AK,99502,963.511,961.511,29369.048,29241.038,16.78637523422618,492999.86,88.14,87.14,1570.82,8676.495,15,77,963.511,0.0,2015
AK,99503,17195.446,16767.697,982100.635,936112.228,15.602575133267274,15323298.946017,1922.367,1901.207,94900.515,1512093.0961,141,273,17162.446,33.0,2015
AK,99504,3672.071,3560.116,127296.018,115286.628,6.934556562484146,882741.437,577.527,555.001,20147.086,128851.9289,56,120,3662.071,10.0,2015
