state,zip_code,total_rx,new_rx,total_qty,new_qty,avg_mme_per_unit,total_mme,medicaid_rx,medicaid_new_rx,medicaid_qty,medicaid_total_mme,distinct_prescribers,distinct_opioid_products,retail_rx,mail_order_rx,year
AA,34004,42.033,40.914,1610.98,1499.06,3.906501756694683,6293.2962,0.0,0.0,0.0,0.0,2,7,42.033,0.0,2016
AA,34099,314.308,288.903,16676.81,14697.46,5.668450051298779,94531.6645,1.026,1.026,15.38,69.21,3,55,314.308,0.0,2016
AE,09005,2.027,2.027,163.48,163.48,5.0,817.4,0.0,0.0,0.0,0.0,1,2,2.027,0.0,2016
AE,09009,30.692,24.481,2200.83,1455.48,9.756537306379865,21472.48,1.074,1.074,21.49,322.35,2,15,30.692,0.0,2016
AE,09033,43.478,43.478,1684.489,1684.489,11.535073841384538,19430.705,0.0,0.0,0.0,0.0,2,25,43.478,0.0,2016
AE,09034,2.107,2.107,158.8,158.8,20.817695214105793,3305.85,0.0,0.0,0.0,0.0,1,2,2.107,0.0,2016
AE,09042,97.302,97.302,3469.469,3469.469,7.461874569278469,25888.7425,0.0,0.0,0.0,0.0,1,14,97.302,0.0,2016
AE,09094,20.032,17.471,2371.23,2115.1,11.99586628036926,28444.958,0.0,0.0,0.0,0.0,1,13,20.032,0.0,2016
AE,09096,897.864,820.176,52327.386,48017.736,6.2246865866756655,325721.57775,0.0,0.0,0.0,0.0,1,40,892.864,5.0,2016
AE,09102,768.807,683.58,49073.956,41496.775,6.891011191353719,338169.18,7.062,7.062,423.74,2470.975,4,58,768.807,0.0,2016
AE,09112,720.088,720.088,28756.809,28756.809,5.343331229831516,153657.1556,3.41,3.41,122.62,571.79,5,34,720.088,0.0,2016
AE,09123,96.617,96.617,5883.167,5883.167,8.175633974014335,48098.62,0.0,0.0,0.0,0.0,2,24,96.617,0.0,2016
AE,09126,102.906,101.906,1880.228,1700.228,6.333101623845619,11907.675,5.677,5.677,81.78,397.49,5,24,102.906,0.0,2016
AE,09137,1072.571,979.196,60033.446,54727.686,10.778982971425629,647099.49215,55.493,54.493,3119.159,18467.59,3,70,1060.571,12.0,2016
AE,09139,79.117,79.117,1176.04,1176.04,7.774586748750043,9143.225,0.0,0.0,0.0,0.0,1,19,79.117,0.0,2016
AE,09180,932.78,882.567,44910.143,41865.413,7.077418053422809,317847.85685,31.665,31.665,815.56,4984.2788,26,73,932.78,0.0,2016
AE,09226,368.5,364.423,24961.858,24442.708,6.21261954939412,155078.527,5.028,5.028,316.1,1880.5,1,41,367.5,1.0,2016
AE,09459,3.387,3.387,247.54,247.54,6.648622444857397,1645.8,0.0,0.0,0.0,0.0,1,3,3.387,0.0,2016
AE,09461,117.843,116.594,2414.676,2394.686,6.017763873911034,14530.95,2.811,2.811,33.11,193.995,2,23,117.843,0.0,2016
AE,09464,385.908,385.908,18565.116,18565.116,6.667377424412538,123780.6353,2.181,2.181,86.65,583.575,3,38,385.908,0.0,2016
AE,09593,152.131,151.08,4456.12,4435.09,6.983070473865157,31117.4,9.907,9.907,242.73,1820.475,3,23,152.131,0.0,2016
AE,09602,592.093,574.819,19753.918,19074.798,7.051542266197521,139295.5877,5.271,5.271,154.76,277.8822,3,58,592.093,0.0,2016
AE,09604,60.018,60.018,1412.88,1412.88,5.371967187588472,7589.945,20.092,20.092,447.7,2259.12,2,12,60.018,0.0,2016
AE,09617,2865.614,2840.106,86228.281,84915.461,7.450021353203133,642402.5347,19.505,19.505,439.97,3510.425,10,89,2865.614,0.0,2016
AE,09623,35.21,35.21,657.05,657.05,4.962126170002283,3260.365,0.0,0.0,0.0,0.0,1,11,35.21,0.0,2016
AE,09627,1.128,1.128,135.32,135.32,5.0,676.6,0.0,0.0,0.0,0.0,1,1,1.128,0.0,2016
AE,09630,188.119,172.728,14058.438,12834.738,9.770076263095516,137352.0114,0.0,0.0,0.0,0.0,1,48,188.119,0.0,2016
AE,09636,65.083,65.083,1638.82,1638.82,6.043343686310882,9903.9525,1.035,1.035,20.7,103.5,4,17,65.083,0.0,2016
AE,09645,256.493,256.493,16405.088,16405.088,2.577417664568456,42282.7636,0.0,0.0,0.0,0.0,4,38,256.493,0.0,2016
AE,09714,1.018,1.018,20.37,20.37,7.5,152.775,0.0,0.0,0.0,0.0,1,1,1.018,0.0,2016
AE,09752,25.488,25.488,737.998,737.998,7.125539296854463,5258.63375,0.0,0.0,0.0,0.0,1,9,25.488,0.0,2016
AE,09803,76.685,76.685,1542.81,1542.81,5.799716102436463,8947.86,6.059,6.059,81.86,613.95,1,12,76.685,0.0,2016
AE,09821,1006.402,922.639,88996.618,81890.358,10.029488199203255,892590.53,18.399,18.399,885.92,10732.03,2,73,996.402,10.0,2016
AE,09824,67.707,67.707,1545.27,1545.27,6.999682903311395,10816.4,1.0,1.0,25.0,187.5,2,13,67.707,0.0,2016
AE,09832,553.173,484.755,43883.919,37583.299,6.692475959132091,293692.0729,2.076,2.076,145.79,910.425,2,34,549.173,4.0,2016
AK,99501,7157.109,6973.751,344674.982,327062.705,10.302760890086882,3551103.924341,1516.816,1501.703,49906.766,393152.28194,80,171,7128.109,29.0,2016
